blink	time	pupil diam	eyeX	eyeY
1	8214	0.24000000000000002	0.38323	0.66866
1	8229	0.24000000000000002	0.25346	0.67756
1	8245	0.24000000000000002	0.21021	0.68053
1	8261	0.24000000000000002	0.12469	0.65011
1	8276	0.24000000000000002	0.13196	0.61357
1	8292	0.24000000000000002	0.13439	0.60139
1	8308	0.24000000000000002	0.17969	0.63614
1	8323	0.24000000000000002	0.17261	0.65255
1	8339	0.23	0.16788	0.66349
1	8354	0.23	0.16166	0.64637
1	8370	0.23	0.20015	0.65167
1	8386	0.24000000000000002	0.23009	0.65579
1	8401	0.24000000000000002	0.25401	0.64963
1	8417	0.24000000000000002	0.24399	0.64380
1	8433	0.23	0.23563	0.63895
1	8448	0.23	0.24726	0.64568
1	8479	0.23	0.24165	0.63653
1	8495	0.24000000000000002	0.26240	0.63540
1	8511	0.24000000000000002	0.35750	0.65626
1	8526	0.24000000000000002	0.31875	0.58440
1	8542	0.25	0.31170	0.51950
1	8558	0.25	0.27345	0.66587
1	8573	0.25	0.22724	0.63637
1	8589	0.24000000000000002	0.16828	0.65566
1	8604	0.24000000000000002	0.16760	0.60807
1	8620	0.24000000000000002	0.27281	0.61237
1	8636	0.23	0.37780	0.60080
1	8651	0.23	0.28077	0.67489
1	8667	0.23	0.32553	0.61977
1	8683	0.24000000000000002	0.34791	0.59221
1	8698	0.24000000000000002	0.34791	0.59221
1	8714	0.24000000000000002	0.36605	0.58996
1	8729	0.22	0.37814	0.58846
1	8745	0.22	0.34475	0.61273
1	8761	0.22	0.35705	0.60889
1	8776	0.25	0.36661	0.60591
1	8808	0.25	0.34469	0.60342
1	8823	0.25	0.32672	0.60202
1	8839	0.23	0.31174	0.60085
1	8854	0.23	0.32198	0.60677
1	8870	0.23	0.31104	0.60048
1	8886	0.22	0.30156	0.59503
1	8901	0.22	0.30970	0.59903
1	8917	0.22	0.27799	0.59108
1	8933	0.24000000000000002	0.24446	0.52464
1	8948	0.24000000000000002	0.30320	0.58567
1	8964	0.24000000000000002	0.30320	0.58567
1	8979	0.24000000000000002	0.30320	0.58567
1	8995	0.24000000000000002	0.24920	0.60099
1	9011	0.24000000000000002	0.23286	0.58453
1	9026	0.24000000000000002	0.22197	0.57356
1	9042	0.24000000000000002	0.22197	0.57356
1	9058	0.24000000000000002	0.20555	0.58452
1	9073	0.24000000000000002	0.19323	0.59274
1	9089	0.24000000000000002	0.19323	0.59274
1	9120	0.24000000000000002	0.18205	0.59872
1	9136	0.23	0.17311	0.60350
1	9151	0.23	0.16797	0.59960
1	9167	0.23	0.17140	0.61075
1	9183	0.23	0.17431	0.62019
1	9198	0.23	0.17499	0.62648
1	9214	0.23	0.15989	0.64298
1	9229	0.23	0.26914	0.67253
1	9245	0.23	0.21090	0.65838
1	9261	0.23	0.18888	0.65486
1	9276	0.24000000000000002	0.17567	0.65276
1	9292	0.24000000000000002	0.17957	0.66856
1	9308	0.24000000000000002	0.21719	0.66168
1	9323	0.23	0.24541	0.65652
1	9339	0.23	0.26583	0.64606
1	9354	0.23	0.25034	0.64305
1	9370	0.22	0.23767	0.64060
1	9386	0.22	0.22963	0.63516
1	9402	0.22	0.23098	0.62121
1	9417	0.24000000000000002	0.23213	0.60926
1	9434	0.24000000000000002	0.22461	0.61088
1	9465	0.24000000000000002	0.22461	0.61088
1	9481	0.24000000000000002	0.22461	0.61088
1	9496	0.24000000000000002	0.21948	0.61798
1	9512	0.24000000000000002	0.21611	0.61153
1	9527	0.23	0.22988	0.57442
1	9543	0.23	0.18450	0.63125
1	9559	0.23	0.19264	0.66720
1	9574	0.25	0.18566	0.72209
1	9590	0.25	0.15856	0.70773
1	9606	0.25	0.22329	0.71171
1	9621	0.24000000000000002	0.25565	0.71371
1	9637	0.24000000000000002	0.31688	0.67844
1	9652	0.24000000000000002	0.25815	0.60333
1	9668	0.25	0.23857	0.57830
1	9684	0.25	0.18441	0.54160
1	9699	0.25	0.17523	0.61974
1	9715	0.25	0.17217	0.64579
1	9731	0.25	0.18973	0.59436
1	9746	0.25	0.17787	0.59598
1	9764	0.24000000000000002	0.16997	0.59707
1	9788	0.24000000000000002	0.17595	0.61852
1	9804	0.24000000000000002	0.17998	0.60577
1	9820	0.25	0.18311	0.59585
1	9835	0.25	0.20682	0.59943
1	9851	0.25	0.19975	0.60052
1	9867	0.24000000000000002	0.19386	0.60143
1	9882	0.24000000000000002	0.21058	0.60363
1	9898	0.24000000000000002	0.21058	0.60363
1	9913	0.24000000000000002	0.21058	0.60363
1	9929	0.24000000000000002	0.20658	0.59942
1	9945	0.24000000000000002	0.20478	0.60978
1	9960	0.24000000000000002	0.20321	0.61885
1	9976	0.24000000000000002	0.19961	0.62377
1	9992	0.24000000000000002	0.19784	0.62075
1	10023	0.24000000000000002	0.19625	0.61804
1	10038	0.24000000000000002	0.19302	0.61982
1	10054	0.24000000000000002	0.21949	0.64338
1	10070	0.24000000000000002	0.32048	0.66515
1	10085	0.24000000000000002	0.36227	0.66657
1	10101	0.24000000000000002	0.43283	0.66283
1	10117	0.23	0.43199	0.64748
1	10132	0.23	0.43199	0.64748
1	10148	0.23	0.29855	0.66247
1	10163	0.24000000000000002	0.23225	0.67764
1	10179	0.24000000000000002	0.25724	0.71128
1	10195	0.24000000000000002	0.20528	0.72126
1	10210	0.24000000000000002	0.17397	0.70684
1	10226	0.24000000000000002	0.18217	0.72040
1	10242	0.24000000000000002	0.18981	0.71866
1	10257	0.25	0.19439	0.71761
1	10273	0.25	0.18962	0.69249
1	10288	0.25	0.18483	0.69302
